"Year","Period","State","State ANSI","Data Item","Domain","Value","Chemical","Chemical_Code","Chemical_Code_num","Chemical_Code_str"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",2.152,"POTASSIUM BICARBON. "," 73508",73508,"073508"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.113,"PROPICONAZOLE "," 122101",122101,"122101"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.179,"PYRACLOSTROBIN "," 99100",99100,"099100"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.711,"PYRIMETHANIL "," 288201",288201,"288201"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.098,"QUINOLINE "," 55459",55459,"055459"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",3.779,"SULFUR "," 77501",77501,"077501"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.038,"TETRACONAZOLE "," 120603",120603,"120603"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.707,"THIOPHANATE-METHYL "," 102001",102001,"102001"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",2.144,"THIRAM "," 79801",79801,"079801"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.124,"TRIFLOXYSTROBIN "," 129112",129112,"129112"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","FUNGICIDE",0.251,"TRIFLUMIZOLE "," 128879",128879,"128879"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","HERBICIDE",0.084,"FLUMIOXAZIN "," 129034",129034,"129034"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","HERBICIDE",0.301,"OXYFLUORFEN "," 111601",111601,"111601"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","HERBICIDE",1.327,"PENDIMETHALIN "," 108501",108501,"108501"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.018,"ABAMECTIN "," 122804",122804,"122804"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.305,"ACEQUINOCYL "," 6329",6329,"006329"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.138,"ACETAMIPRID "," 99050",99050,"099050"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.029,"AZADIRACHTIN "," 121701",121701,"121701"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.505,"BIFENAZATE "," 586",586,"000586"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.123,"BIFENTHRIN "," 128825",128825,"128825"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.066,"CHLORANTRANILIPROLE "," 90100",90100,"090100"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.109,"CYANTRANILIPROLE "," 90098",90098,"090098"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.178,"CYFLUMETOFEN "," 138831",138831,"138831"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.233,"FENPROPATHRIN "," 127901",127901,"127901"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.106,"FENPYROXIMATE "," 129131",129131,"129131"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.088,"FLONICAMID "," 128016",128016,"128016"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.18,"FLUPYRADIFURONE "," 122304",122304,"122304"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.218,"HEXYTHIAZOX "," 128849",128849,"128849"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.513,"IMIDACLOPRID "," 129099",129099,"129099"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",2.027,"MALATHION "," 57701",57701,"057701"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.169,"METHOXYFENOZIDE "," 121027",121027,"121027"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.907,"NALED "," 34401",34401,"034401"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.779,"NEEM OIL "," 25006",25006,"025006"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",2.222,"NEEM OIL, CLAR. HYD. "," 25007",25007,"025007"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.077,"NOVALURON "," 124002",124002,"124002"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.041,"PYRETHRINS "," 69001",69001,"069001"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.076,"SPINETORAM "," 110007",110007,"110007"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.095,"SPINOSAD "," 110003",110003,"110003"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.252,"SPIROMESIFEN "," 24875",24875,"024875"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","INSECTICIDE",0.065,"THIAMETHOXAM "," 60109",60109,"060109"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","OTHER",196.615,"CHLOROPICRIN "," 81501",81501,"081501"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","OTHER",70.726,"DICHLOROPROPENE "," 29001",29001,"029001"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","OTHER",0.113,"FLUTRIAFOL "," 128940",128940,"128940"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","OTHER",2.372,"HYDROGEN PEROXIDE "," 595",595,"000595"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","OTHER",240.829,"METAM-POTASSIUM "," 39002",39002,"039002"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","OTHER",0.491,"PEROXYACETIC ACID "," 63201",63201,"063201"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / APPLICATION, AVG","OTHER",0.199,"REYNOUTRIA SACHALINE "," 55809",55809,"055809"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.26,"AZOXYSTROBIN "," 128810",128810,"128810"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.021,"BORAX DECAHYDRATE "," 11102",11102,"011102"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.506,"BOSCALID "," 128008",128008,"128008"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",14.256,"CAPTAN "," 81301",81301,"081301"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.031,"CYFLUFENAMID "," 555550",555550,"555550"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.591,"CYPRODINIL "," 288202",288202,"288202"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.974,"FENHEXAMID "," 90209",90209,"090209"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.394,"FLUDIOXONIL "," 71503",71503,"071503"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.254,"FLUOPYRAM "," 80302",80302,"080302"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.202,"FLUXAPYROXAD "," 138009",138009,"138009"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.566,"MEFENOXAM "," 113502",113502,"113502"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.237,"MYCLOBUTANIL "," 128857",128857,"128857"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.35,"PENTHIOPYRAD "," 90112",90112,"090112"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.183,"POLYOXIN D ZINC SALT "," 230000",230000,"230000"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",10.775,"POTASSIUM BICARBON. "," 73508",73508,"073508"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.14,"PROPICONAZOLE "," 122101",122101,"122101"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.23,"PYRACLOSTROBIN "," 99100",99100,"099100"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.989,"PYRIMETHANIL "," 288201",288201,"288201"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.139,"QUINOLINE "," 55459",55459,"055459"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",17.216,"SULFUR "," 77501",77501,"077501"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.056,"TETRACONAZOLE "," 120603",120603,"120603"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.815,"THIOPHANATE-METHYL "," 102001",102001,"102001"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",5.029,"THIRAM "," 79801",79801,"079801"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.249,"TRIFLOXYSTROBIN "," 129112",129112,"129112"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","FUNGICIDE",0.461,"TRIFLUMIZOLE "," 128879",128879,"128879"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","HERBICIDE",0.099,"FLUMIOXAZIN "," 129034",129034,"129034"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","HERBICIDE",0.388,"OXYFLUORFEN "," 111601",111601,"111601"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","HERBICIDE",1.357,"PENDIMETHALIN "," 108501",108501,"108501"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.025,"ABAMECTIN "," 122804",122804,"122804"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.453,"ACEQUINOCYL "," 6329",6329,"006329"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.184,"ACETAMIPRID "," 99050",99050,"099050"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.048,"AZADIRACHTIN "," 121701",121701,"121701"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.872,"BIFENAZATE "," 586",586,"000586"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.191,"BIFENTHRIN "," 128825",128825,"128825"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.107,"CHLORANTRANILIPROLE "," 90100",90100,"090100"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.145,"CYANTRANILIPROLE "," 90098",90098,"090098"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.283,"CYFLUMETOFEN "," 138831",138831,"138831"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.251,"FENPROPATHRIN "," 127901",127901,"127901"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.121,"FENPYROXIMATE "," 129131",129131,"129131"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.16,"FLONICAMID "," 128016",128016,"128016"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.245,"FLUPYRADIFURONE "," 122304",122304,"122304"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.253,"HEXYTHIAZOX "," 128849",128849,"128849"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.602,"IMIDACLOPRID "," 129099",129099,"129099"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",2.443,"MALATHION "," 57701",57701,"057701"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.219,"METHOXYFENOZIDE "," 121027",121027,"121027"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",1.076,"NALED "," 34401",34401,"034401"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",1.159,"NEEM OIL "," 25006",25006,"025006"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",2.57,"NEEM OIL, CLAR. HYD. "," 25007",25007,"025007"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.168,"NOVALURON "," 124002",124002,"124002"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.067,"PYRETHRINS "," 69001",69001,"069001"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.117,"SPINETORAM "," 110007",110007,"110007"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.126,"SPINOSAD "," 110003",110003,"110003"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.274,"SPIROMESIFEN "," 24875",24875,"024875"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","INSECTICIDE",0.088,"THIAMETHOXAM "," 60109",60109,"060109"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","OTHER",221.399,"CHLOROPICRIN "," 81501",81501,"081501"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","OTHER",77.467,"DICHLOROPROPENE "," 29001",29001,"029001"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","OTHER",0.186,"FLUTRIAFOL "," 128940",128940,"128940"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","OTHER",4.631,"HYDROGEN PEROXIDE "," 595",595,"000595"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","OTHER",281.989,"METAM-POTASSIUM "," 39002",39002,"039002"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","OTHER",0.958,"PEROXYACETIC ACID "," 63201",63201,"063201"
2021,"YEAR","CALIFORNIA","06","LB / ACRE / YEAR, AVG","OTHER",0.266,"REYNOUTRIA SACHALINE "," 55809",55809,"055809"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",1.1,"AZOXYSTROBIN "," 128810",128810,"128810"
2021,"YEAR","CALIFORNIA","06","NUMBER, AVG","FUNGICIDE",1.6,"BACILLUS AMYLOLIQUEFACIENS STRAIN D747 "," 16482",16482,"016482"
